%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;210;100;43784;210;100;43786;B197;PL_RELOC
Vehicle0;210;100;43786;210;100;43788;B198;PL_RELOC
Vehicle0;210;100;43788;210;100;43790;B199;PL_RELOC
Vehicle0;210;100;43790;210;100;43792;B994;PL_RELOC
Vehicle0;210;100;43792;300;100;43884;B195;PU
Vehicle2;700;100;43822;150;100;44374;B599;PL_RELOC
Vehicle0;300;100;43884;0;100;44186;B195;PL
Vehicle1;640;100;44166;0;100;44808;B530;PL
Vehicle0;0;100;44186;300;100;44488;B194;PU
Vehicle2;150;100;44374;150;100;44376;B423;PL_RELOC
Vehicle2;150;100;44376;150;100;44378;B425;PL_RELOC
Vehicle2;150;100;44378;150;100;44380;B427;PL_RELOC
Vehicle2;150;100;44380;150;100;44382;B428;PL_RELOC
Vehicle2;150;100;44382;700;100;44934;B598;PU
Vehicle0;300;100;44488;300;100;44490;B193;PU
Vehicle0;300;100;44490;300;100;44492;B192;PU
Vehicle0;300;100;44492;0;100;44794;B192;PL
Vehicle0;0;100;44794;300;100;45096;B191;PU
Vehicle1;0;100;44808;760;100;45570;B659;PU
Vehicle2;700;100;44934;700;100;44936;B597;PU
Vehicle2;700;100;44936;0;100;45638;B597;PL
Vehicle0;300;100;45096;300;100;45098;B190;PU
Vehicle0;300;100;45098;0;100;45400;B190;PL
Vehicle0;0;100;45400;410;100;45812;B309;PU
Vehicle1;760;100;45570;760;100;45572;B658;PU
Vehicle1;760;100;45572;760;100;45574;B657;PU
Vehicle1;760;100;45574;760;100;45576;B656;PU
Vehicle1;760;100;45576;760;100;45578;B655;PU
Vehicle1;760;100;45578;0;100;46340;B655;PL
Vehicle2;0;100;45638;700;100;46340;B596;PU
Vehicle0;410;100;45812;410;100;45814;B308;PU
Vehicle0;410;100;45814;210;100;46016;B308;PL_RELOC
Vehicle0;210;100;46016;210;100;46018;B309;PL_RELOC
Vehicle0;210;100;46018;210;100;46020;B191;PL_RELOC
Vehicle0;210;100;46020;210;100;46022;B193;PL_RELOC
Vehicle0;210;100;46022;210;100;46024;B194;PL_RELOC
Vehicle0;210;100;46024;410;100;46226;B307;PU
Vehicle0;410;100;46226;410;100;46228;B306;PU
Vehicle0;410;100;46228;410;100;46230;B305;PU
Vehicle0;410;100;46230;410;100;46232;B304;PU
Vehicle0;410;100;46232;0;100;46644;B304;PL
Vehicle1;0;100;46340;760;100;47102;B654;PU
Vehicle2;700;100;46340;700;100;46342;B595;PU
Vehicle2;700;100;46342;700;100;46344;B594;PU
